Model,Architecture,Generation,Block,EtaC,LambdaC,BlockDriftNorm
SmolLM_Trt,sequential,3,13,0.00153125,1306.1224489795918,0.9546031355857849
SmolLM_Trt,sequential,3,14,0.0002734375,7314.285714285714,0.9741898775100708
SmolLM_Trt,sequential,3,15,4.0039062499999995e-05,49951.21951219513,0.9928354024887085
SmolLM_Trt,sequential,3,16,0.00039843750000000003,5019.607843137254,0.9800940155982971
SmolLM_Trt,sequential,3,17,0.000953125,2098.3606557377047,1.0013635158538818
SmolLM_Trt,sequential,3,18,0.0004765625,4196.7213114754095,1.0400376319885254
SmolLM_Trt,sequential,3,19,0.0030625,653.0612244897959,1.09964919090271
SmolLM_Trt,sequential,3,20,0.0006406249999999999,3121.9512195121956,1.1028245687484741
SmolLM_Trt,sequential,3,21,0.0012812499999999998,1560.9756097560978,1.0236161947250366
SmolLM_Trt,sequential,3,22,0.0039375,507.93650793650795,1.0020521879196167
SmolLM_Trt,sequential,3,23,0.0023125000000000003,864.8648648648648,0.9893150329589844
SmolLM_Trt,sequential,3,24,0.00134375,1488.372093023256,0.9835851192474365
SmolLM_Trt,sequential,3,25,0.00103125,1939.3939393939393,0.9577252268791199
SmolLM_Trt,sequential,3,26,0.004375,457.1428571428571,1.019606113433838
SmolLM_Trt,sequential,3,27,0.0008593750000000001,2327.272727272727,1.0277186632156372
SmolLM_Trt,sequential,3,28,0.00146875,1361.7021276595744,0.9949489235877991
SmolLM_Trt,sequential,3,29,0.006625000000000001,301.88679245283015,0.9477460384368896
SmolLM_Trt,sequential,4,0,8.544921875e-06,234057.14285714284,0.6196888089179993
SmolLM_Trt,sequential,4,1,5.7373046875e-06,348595.74468085106,0.48336631059646606
SmolLM_Trt,sequential,4,2,3.22265625e-05,62060.60606060606,0.41753798723220825
SmolLM_Trt,sequential,4,3,0.0035624999999999997,561.4035087719299,0.3840581774711609
SmolLM_Trt,sequential,4,4,0.00103125,1939.3939393939393,0.37451791763305664
SmolLM_Trt,sequential,4,5,0.00153125,1306.1224489795918,0.4479829668998718
SmolLM_Trt,sequential,4,6,1.611328125e-05,124121.21212121211,0.45211708545684814
SmolLM_Trt,sequential,4,7,0.00032031249999999996,6243.902439024391,0.5092241764068604
SmolLM_Trt,sequential,4,8,0.0003828125,5224.489795918367,0.5362341403961182
SmolLM_Trt,sequential,4,9,0.00103125,1939.3939393939393,0.5325353741645813
SmolLM_Trt,sequential,4,10,2.978515625e-05,67147.54098360655,0.6846550107002258
SmolLM_Trt,sequential,4,11,0.00039843750000000003,5019.607843137254,0.8726016283035278
SmolLM_Trt,sequential,4,12,0.0015937500000000001,1254.9019607843136,0.9302060604095459
SmolLM_Trt,sequential,4,13,0.006875000000000001,290.9090909090909,0.9019771814346313
SmolLM_Trt,sequential,4,14,0.000546875,3657.142857142857,0.9206053614616394
SmolLM_Trt,sequential,4,15,0.000546875,3657.142857142857,0.9324865341186523
SmolLM_Trt,sequential,4,16,0.00028906250000000004,6918.918918918918,0.9127629399299622
SmolLM_Trt,sequential,4,17,0.0025624999999999997,780.4878048780489,0.9314601421356201
SmolLM_Trt,sequential,4,18,0.0006406249999999999,3121.9512195121956,0.9678428769111633
SmolLM_Trt,sequential,4,19,0.0007968750000000001,2509.803921568627,0.9971489310264587
SmolLM_Trt,sequential,4,20,0.0017187500000000002,1163.6363636363635,1.0121989250183105
SmolLM_Trt,sequential,4,21,0.00146875,1361.7021276595744,0.9538238048553467
SmolLM_Trt,sequential,4,22,0.00134375,1488.372093023256,0.9294269680976868
SmolLM_Trt,sequential,4,23,0.000515625,3878.7878787878785,0.9227555990219116
SmolLM_Trt,sequential,4,24,0.000515625,3878.7878787878785,0.9212539792060852
SmolLM_Trt,sequential,4,25,0.0002734375,7314.285714285714,0.8986443877220154
SmolLM_Trt,sequential,4,26,1.8066406250000002e-05,110702.70270270269,0.953978955745697
SmolLM_Trt,sequential,4,27,0.0008593750000000001,2327.272727272727,0.9533686637878418
SmolLM_Trt,sequential,4,28,0.004125,484.8484848484848,0.9229480624198914
SmolLM_Trt,sequential,4,29,0.00184375,1084.7457627118645,0.8525234460830688
SmolLM_Trt,sequential,5,0,5.4931640625e-06,364088.8888888889,0.6407658457756042
SmolLM_Trt,sequential,5,1,9.521484375000002e-06,210051.282051282,0.47983962297439575
SmolLM_Trt,sequential,5,2,5.9814453125e-06,334367.3469387755,0.40799233317375183
SmolLM_Trt,sequential,5,3,0.0039375,507.93650793650795,0.37019044160842896
SmolLM_Trt,sequential,5,4,0.0003828125,5224.489795918367,0.327234148979187
SmolLM_Trt,sequential,5,5,0.000953125,2098.3606557377047,0.3920339345932007
SmolLM_Trt,sequential,5,6,4.39453125e-05,45511.11111111111,0.3842308819293976
SmolLM_Trt,sequential,5,7,8.056640625e-06,248242.42424242423,0.4558684527873993
SmolLM_Trt,sequential,5,8,0.000765625,2612.2448979591836,0.4690288305282593
SmolLM_Trt,sequential,5,9,0.0008593750000000001,2327.272727272727,0.45745980739593506
SmolLM_Trt,sequential,5,10,0.00016796875,11906.976744186048,0.5739961266517639
SmolLM_Trt,sequential,5,11,0.0015937500000000001,1254.9019607843136,0.7411461472511292
SmolLM_Trt,sequential,5,12,0.00153125,1306.1224489795918,0.8417019248008728
SmolLM_Trt,sequential,5,13,0.0015937500000000001,1254.9019607843136,0.8205812573432922
SmolLM_Trt,sequential,5,14,0.0015937500000000001,1254.9019607843136,0.8386211395263672
SmolLM_Trt,sequential,5,15,0.01225,163.26530612244898,0.8533451557159424
SmolLM_Trt,sequential,5,16,6.4453125e-05,31030.30303030303,0.8460123538970947
SmolLM_Trt,sequential,5,17,0.0008281250000000001,2415.094339622641,0.8537750840187073
SmolLM_Trt,sequential,5,18,0.00140625,1422.2222222222222,0.8992012143135071
SmolLM_Trt,sequential,5,19,0.0017187500000000002,1163.6363636363635,0.9064763784408569
SmolLM_Trt,sequential,5,20,0.0008906249999999999,2245.6140350877195,0.9356201887130737
