Model,Gen,Block,Attn_Norm,MLP_Norm,Total_Norm
SmolLM_Trt,0,0,212.4949531943209,306.8499862514255,519.3449394457464
SmolLM_Trt,0,1,190.61069234215654,306.9662415274683,497.57693386962484
SmolLM_Trt,0,2,182.08812952541004,305.24422854904236,487.3323580744524
SmolLM_Trt,0,3,182.1863890939544,307.58651920536926,489.77290829932366
SmolLM_Trt,0,4,182.3357726404092,304.6705700424641,487.0063426828733
SmolLM_Trt,0,5,176.76588120396,304.523484700893,481.28936590485296
SmolLM_Trt,0,6,179.0971688733172,308.69064776184103,487.78781663515826
SmolLM_Trt,0,7,170.1795079949588,309.35306424759233,479.53257224255117
SmolLM_Trt,0,8,170.07631272001842,311.09931091212655,481.17562363214495
SmolLM_Trt,0,9,174.96094081407676,314.15019608958545,489.1111369036622
SmolLM_Trt,0,10,181.4944317596703,314.67705729942406,496.17148905909437
SmolLM_Trt,0,11,182.96742834172528,313.714032425432,496.68146076715726
SmolLM_Trt,0,12,179.58255155294353,312.1504607657179,491.73301231866145
SmolLM_Trt,0,13,184.50592213458725,308.9670447889629,493.47296692355013
SmolLM_Trt,0,14,173.62181647549366,308.8392488668255,482.4610653423192
SmolLM_Trt,0,15,173.1545023655265,310.1468181815267,483.30132054705325
SmolLM_Trt,0,16,182.7452687539492,312.7540123893297,495.49928114327895
SmolLM_Trt,0,17,170.43043723333832,312.5540390776449,482.98447631098327
SmolLM_Trt,0,18,166.54893530600097,308.2368173123954,474.7857526183964
SmolLM_Trt,0,19,181.14761655725698,311.46639064271443,492.6140071999714
SmolLM_Trt,0,20,175.02197406682967,311.72596952792526,486.74794359475493
SmolLM_Trt,0,21,174.18706900848187,313.97504379329257,488.16211280177447
SmolLM_Trt,0,22,180.91624780738496,316.14278073759647,497.0590285449814
SmolLM_Trt,0,23,196.1878789270393,317.018643477793,513.2065224048323
SmolLM_Trt,0,24,185.4319031953678,320.43636629407405,505.86826948944184
SmolLM_Trt,0,25,189.29751276718812,321.24330002740913,510.5408127945973
SmolLM_Trt,0,26,192.9511138195858,321.0477050319002,513.998818851486
SmolLM_Trt,0,27,179.64014049795497,323.042591038705,502.68273153665996
SmolLM_Trt,0,28,187.03997147063077,324.44472396118573,511.4846954318165
SmolLM_Trt,0,29,186.75458566941452,310.84112513971667,497.5957108091312
SmolLM_Trt,1,0,212.49558704057537,306.85039998140786,519.3459870219832
SmolLM_Trt,1,1,190.6109725243531,306.9667346340235,497.5777071583766
SmolLM_Trt,1,2,182.08842282140273,305.2447276366948,487.3331504580975
SmolLM_Trt,1,3,182.1866504053947,307.5870303670166,489.7736807724113
SmolLM_Trt,1,4,182.33602771244395,304.6711277652512,487.00715547769516
SmolLM_Trt,1,5,176.7662271823032,304.52404910675773,481.2902762890609
SmolLM_Trt,1,6,179.09760304374714,308.6912013849763,487.78880442872344
SmolLM_Trt,1,7,170.17995272238664,309.3536545666626,479.53360728904926
SmolLM_Trt,1,8,170.07679145090424,311.0999041957824,481.17669564668665
SmolLM_Trt,1,9,174.96133152584565,314.1507898287063,489.11212135455196
SmolLM_Trt,1,10,181.49499605705387,314.67793245137955,496.1729285084334
SmolLM_Trt,1,11,182.9682496257035,313.71496940893655,496.68321903464005
SmolLM_Trt,1,12,179.5830205762696,312.15129294542413,491.7343135216937
SmolLM_Trt,1,13,184.50618743859243,308.96783497133646,493.4740224099289
SmolLM_Trt,1,14,173.62213848658888,308.84000775583627,482.46214624242515
SmolLM_Trt,1,15,173.1549218276079,310.14769667047347,483.30261849808136
SmolLM_Trt,1,16,182.7456882453472,312.7548367181953,495.5005249635425
SmolLM_Trt,1,17,170.4308977796243,312.554895178431,482.9857929580553
SmolLM_Trt,1,18,166.54936773981237,308.2380434116626,474.787411151475
SmolLM_Trt,1,19,181.14839420391297,311.4678830754465,492.61627727935945
SmolLM_Trt,1,20,175.02259340760838,311.72747638161445,486.75006978922283
SmolLM_Trt,1,21,174.18778662628912,313.97631902143513,488.1641056477242
SmolLM_Trt,1,22,180.91685574154292,316.1440626666504,497.06091840819334
SmolLM_Trt,1,23,196.18825100903564,317.0198818193427,513.2081328283783
SmolLM_Trt,1,24,185.43249435020147,320.4374939048176,505.86998825501905
SmolLM_Trt,1,25,189.2979912523836,321.24430928811796,510.54230054050157
SmolLM_Trt,1,26,192.95159716275026,321.0487939939971,514.0003911567474
SmolLM_Trt,1,27,179.64105785696307,323.0437397822468,502.6847976392099
SmolLM_Trt,1,28,187.04097653802194,324.4457232631523,511.4866998011742
SmolLM_Trt,1,29,186.7556955472468,310.8422624248109,497.59795797205766
SmolLM_Trt,2,0,212.49518190195036,306.8501772037944,519.3453591057447
SmolLM_Trt,2,1,190.61080697675072,306.96647058351505,497.57727756026577
SmolLM_Trt,2,2,182.08827634106314,305.2444780929706,487.33275443403375
SmolLM_Trt,2,3,182.1865512410974,307.5868208225931,489.7733720636905
SmolLM_Trt,2,4,182.3359440274325,304.6709290365591,487.0068730639916
SmolLM_Trt,2,5,176.76615881537887,304.5239080053896,481.2900668207685
SmolLM_Trt,2,6,179.09749739797803,308.6910526977175,487.78855009569554
SmolLM_Trt,2,7,170.179891034458,309.35355039279085,479.5334414272488
SmolLM_Trt,2,8,170.07673044329508,311.0998414144967,481.1765718577918
SmolLM_Trt,2,9,174.96130989718128,314.1507152228051,489.11202511998636
SmolLM_Trt,2,10,181.49496377310308,314.67794796823625,496.17291174133936
SmolLM_Trt,2,11,182.9684024068005,313.71524023088995,496.68364263769047
SmolLM_Trt,2,12,179.5832809176741,312.15170277747166,491.73498369514573
SmolLM_Trt,2,13,184.5063984906333,308.96823006176544,493.4746285523987
SmolLM_Trt,2,14,173.62234519208639,308.8404251439973,482.46277033608374
SmolLM_Trt,2,15,173.1551410754511,310.1482067596877,483.30334783513877
SmolLM_Trt,2,16,182.74597948403166,312.75532069814574,495.5013001821774
SmolLM_Trt,2,17,170.4311370053533,312.55535134796526,482.9864883533186
SmolLM_Trt,2,18,166.54963965948147,308.238591511308,474.78823117078946
SmolLM_Trt,2,19,181.14875674514715,311.4683847319018,492.6171414770489
SmolLM_Trt,2,20,175.02280055150135,311.72812799176467,486.750928543266
SmolLM_Trt,2,21,174.18805573220462,313.9768260009407,488.1648817331453
SmolLM_Trt,2,22,180.917058160898,316.1445383691216,497.06159653001964
SmolLM_Trt,2,23,196.1883586513545,317.0203500467281,513.2087086980825
SmolLM_Trt,2,24,185.43255623044257,320.4379876142184,505.870543844661
SmolLM_Trt,2,25,189.2981066819195,321.2447591984965,510.542865880416
SmolLM_Trt,2,26,192.9517477327557,321.04928676334106,514.0010344960967
SmolLM_Trt,2,27,179.64129569001528,323.044205324519,502.6855010145343
SmolLM_Trt,2,28,187.04116841390996,324.4460663962502,511.4872348101602
SmolLM_Trt,2,29,186.75590503758175,310.84259544120556,497.5985004787873
SmolLM_Trt,3,0,212.49510162093296,306.8500944577824,519.3451960787154
SmolLM_Trt,3,1,190.61076310821304,306.96639423151845,497.57715733973146
SmolLM_Trt,3,2,182.08825287738225,305.2444333030498,487.332686180432
SmolLM_Trt,3,3,182.18652175980938,307.5867668490064,489.77328860881573
SmolLM_Trt,3,4,182.3359226040634,304.67084569868183,487.00676830274523
SmolLM_Trt,3,5,176.7660856144003,304.5238406615318,481.2899262759321
SmolLM_Trt,3,6,179.09741560766238,308.6909704451606,487.78838605282294
SmolLM_Trt,3,7,170.1798121312609,309.3534935706642,479.5333057019251
SmolLM_Trt,3,8,170.0766601050832,311.0997441034788,481.176404208562
SmolLM_Trt,3,9,174.96127291913595,314.1506623769477,489.11193529608363
SmolLM_Trt,3,10,181.49491534716614,314.6778796940611,496.17279504122723
SmolLM_Trt,3,11,182.9684944756969,313.7154270045147,496.6839214802116
SmolLM_Trt,3,12,179.58342230397062,312.152081324152,491.7355036281226
SmolLM_Trt,3,13,184.506569846188,308.96859038379614,493.4751602299841
SmolLM_Trt,3,14,173.62252799266142,308.8407603189304,482.4632883115918
SmolLM_Trt,3,15,173.15527008611014,310.1485468186978,483.30381690480795
SmolLM_Trt,3,16,182.74612176331198,312.75568914689626,495.50181091020823
SmolLM_Trt,3,17,170.43132394498562,312.55568253912776,482.9870064841134
SmolLM_Trt,3,18,166.54981629708797,308.23892417246725,474.78874046955525
SmolLM_Trt,3,19,181.14896833950988,311.46868886073446,492.61765720024437
SmolLM_Trt,3,20,175.0229825868413,311.7284475308598,486.7514301177011
SmolLM_Trt,3,21,174.188182576255,313.9770965970289,488.1652791732839
SmolLM_Trt,3,22,180.9171438516901,316.1447762200888,497.0619200717789
SmolLM_Trt,3,23,196.18843144988347,317.0205656775282,513.2089971274117
SmolLM_Trt,3,24,185.43256742154782,320.4382405638019,505.87080798534976
SmolLM_Trt,3,25,189.29812344821494,321.2450297524072,510.54315320062216
SmolLM_Trt,3,26,192.95182491565413,321.04958181622817,514.0014067318823
SmolLM_Trt,3,27,179.64138810505918,323.04442600341366,502.68581410847287
SmolLM_Trt,3,28,187.04112860294256,324.44628612163984,511.48741472458244
SmolLM_Trt,3,29,186.75601059970518,310.8427368159822,497.5987474156874
SmolLM_Trt,4,0,212.49507472893958,306.85011355301793,519.3451882819575
SmolLM_Trt,4,1,190.6107970502942,306.96640377551904,497.57720082581324
SmolLM_Trt,4,2,182.08822438576564,305.2444109080869,487.3326352938525
SmolLM_Trt,4,3,182.186515059516,307.5867160503278,489.77323110984383
SmolLM_Trt,4,4,182.33590586705455,304.6708040297347,487.0067098967893
SmolLM_Trt,4,5,176.76607870864606,304.52378293821323,481.2898616468593
SmolLM_Trt,4,6,179.09738084676692,308.6909388095559,487.78831965632287
SmolLM_Trt,4,7,170.1797755488571,309.3534525324552,479.5332280813123
SmolLM_Trt,4,8,170.07663354881197,311.09970329562356,481.1763368444355
SmolLM_Trt,4,9,174.96122128939922,314.15060953108144,489.1118308204807
SmolLM_Trt,4,10,181.49481782267057,314.6778052131259,496.1726230357965
SmolLM_Trt,4,11,182.96831500802264,313.71526824694075,496.6835832549634
SmolLM_Trt,4,12,179.58346852638957,312.15203126841897,491.73549979480856
SmolLM_Trt,4,13,184.50665916272678,308.96861250881943,493.47527167154624
SmolLM_Trt,4,14,173.62258142663933,308.840823559443,482.4634049860823
SmolLM_Trt,4,15,173.1553575031141,310.14856885954674,483.30392636266083
SmolLM_Trt,4,16,182.74616518184965,312.75576096312756,495.50192614497723
SmolLM_Trt,4,17,170.4313790957192,312.5557012857868,482.987080381506
SmolLM_Trt,4,18,166.549910112836,308.23895902266315,474.7888691354991
SmolLM_Trt,4,19,181.14904718193213,311.46870453747033,492.61775171940246
SmolLM_Trt,4,20,175.02299723335466,311.72845379632895,486.7514510296836
SmolLM_Trt,4,21,174.1882940027203,313.9771494720993,488.16544347481965
SmolLM_Trt,4,22,180.91719850485126,316.1448256436439,497.0620241484952
SmolLM_Trt,4,23,196.18848060443048,317.0206642515595,513.20914485599
SmolLM_Trt,4,24,185.43256939644866,320.4383838002245,505.8709531966732
SmolLM_Trt,4,25,189.29813956965148,321.2452091082449,510.5433486778964
SmolLM_Trt,4,26,192.95190842498488,321.04980994971794,514.0017183747028
SmolLM_Trt,4,27,179.641487315274,323.0445831992467,502.6860705145207
SmolLM_Trt,4,28,187.04110837113623,324.4464456481994,511.4875540193357
SmolLM_Trt,4,29,186.7560285746738,310.84278079923297,497.59880937390676
SmolLM_Trt,5,0,212.49513680671356,306.85010718793956,519.3452439946532
SmolLM_Trt,5,1,190.61079160675328,306.9664355888523,497.5772271956056
SmolLM_Trt,5,2,182.08827231871805,305.2444269044891,487.33269922320716
SmolLM_Trt,5,3,182.18653717048326,307.58674462458555,489.7732817950688
SmolLM_Trt,5,4,182.3358918079659,304.6708200562535,487.00671186421937
