Experiment,Generation,Model_Path,Perplexity,Diversity,Coherence
SmolLM Control A,2,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_2,4.7228,0.8732,0.3771
SmolLM Control A,3,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_3,4.7142,0.9281,0.5388
SmolLM Control A,4,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_4,4.6782,0.8766,0.3979
SmolLM Control A,5,D:\Thaman\Work\hessian-spectral-analysis\models\control_generation_5,4.6781,0.7015,0.3706
SmolLM Control B,0,HuggingFaceTB/SmolLM2-135M,6.0504,0.9683,0.2472
SmolLM Control B,1,D:\Thaman\Work\hessian-spectral-analysis\models\control_b_gen_1,4.6996,0.9209,0.2472
SmolLM Control B,2,D:\Thaman\Work\hessian-spectral-analysis\models\control_b_gen_2,4.7056,0.8133,0.3988
SmolLM Control B,3,D:\Thaman\Work\hessian-spectral-analysis\models\control_b_gen_3,4.6999,0.8618,0.5183
SmolLM Control B,4,D:\Thaman\Work\hessian-spectral-analysis\models\control_b_gen_4,4.695,0.94,0.3995
SmolLM Control B,5,D:\Thaman\Work\hessian-spectral-analysis\models\control_b_gen_5,4.6923,0.8836,0.5
SmolLM EWC lambda=100,1,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda100_gen_1,5.9002,0.9615,0.4454
SmolLM EWC lambda=100,2,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda100_gen_2,6.3224,0.8227,0.3577
SmolLM EWC lambda=100,3,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda100_gen_3,6.8769,0.9062,0.5624
SmolLM EWC lambda=100,4,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda100_gen_4,7.5111,0.6964,0.5109
SmolLM EWC lambda=100,5,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda100_gen_5,8.1742,0.8561,0.4482
SmolLM EWC lambda=50,1,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda50_gen_1,5.9136,0.6977,0.3666
SmolLM EWC lambda=50,2,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda50_gen_2,6.3394,0.74,0.3164
SmolLM EWC lambda=50,3,D:\Thaman\Work\hessian-spectral-analysis\models\ewc_lambda50_gen_3,6.9077,0.5956,0.4099
